Key;Recommendation_1;Recommendation_2;Recommendation_3;Recommendation_4;Recommendation_5;Recommendation_6;Recommendation_7;Recommendation_8
7675013151;7675055167;7675025986;7675011449;7675011355;7675009821;7675039084;7675040907;7675017298
7675013395;7675011264;7675035901;7675052921;7675010567;7675037176;7675012598;7675010214;7675022188
7675013474;7675047664;7675012841;7675012830;7675014307;7675047331;7675014742;7675006391;7675038123
7675013539;7675010298;7675050397;7675028770;7675013944;7675013550;7675008491;7675016942;7675018135
7675013550;7675010298;7675014307;7675013944;7675012038;7675013539;7675012041;7675027803;7675008490
7675013714;7675039664;7675024333;7675038122;7675040907;7675008224;7675006352;7675011448;7675014172
7675013800;7675008547;7675022870;7675038122;7675012679;7675013714;7675008840;7675008516;7675011279
7675013822;7675019936;7675011262;7675050397;7675026138;7675008839;7675050442;7675038122;7675021466
7675013944;7675010298;7675047436;7675008598;7675038529;7675013539;7675013550;7675008763;7675008547
7675013973;7675018026;7675014920;7675056017;7675022833;7675012816;7675039664;7675014213;7675008516
7675013975;7675033651;7675035901;7675012262;7675037176;7675016202;7675054600;7675011265;7675016380
7675014004;7675040758;7675023846;7675012760;7675046372;7675039975;7675054787;7675051011;7675045749
7675014036;7675005060;7675021502;7675005083;7675008516;7675030433;7675005088;7675005114;7675011279
7675014039;7675006360;7675014057;7675011264;7675035901;7675013395;7675052921;7675027799;7675052085
7675014042;7675005060;7675008516;7675021502;7675011279;7675017298;7675040907;7675014036;7675014925
7675014056;7675030185;7675020688;7675019654;7675008676;7675011441;7675010245;7675026138;7675014920
7675014057;7675008516;7675005098;7675011279;7675005060;7675014925;7675021502;7675051413;7675050924
7675014104;71928304560;7675006391;7675026138;7675019163;7675054771;7675009720;7675027799;7675052415
7675014134;7675052415;7675011448;7675026138;7675018144;7675014213;7675005282;7675010296;7675009821
7675014172;7675020689;7675039664;7675005062;7675011668;7675011448;7675005114;7675013714;7675005088
7675014174;7675014925;7675021502;7675028773;7675025739;7675006103;7675017298;7675011448;7675005895
7675014213;7675005088;7675009821;7675008839;7675018242;7675008516;7675005083;7675006748;7675014925
7675014284;7675016133;7675054980;7675011264;7675016336;7675050672;7675016202;7675020103;7675050442
7675014307;7675008894;7675008763;7675010065;7675039084;7675017195;7675009903;7675028763;7675012041
7675014338;7675006391;7675019653;7675010403;7675010388;7675014307;7675012760;7675011361;7675020686
7675014339;7675011355;7675006131;7675014213;7675005179;7675014036;7675014172;7675051411;7675006748
7675014354;7675011534;7675026138;7675022833;7675013151;7675011443;7675011444;7675011287;7675044267
7675014355;7675011444;7675006041;7675018242;7675008224;7675014925;7675014213;7675005062;7675010296
7675014630;7675050924;7675021466;7675025498;7675011045;7675030650;7675008516;7675013151;7675039337
7675014656;7675006391;7675011449;7675054802;7675012760;7675044187;7675047436;7675023691;7675054787
7675014662;7675052415;7675016964;7675047436;7675022270;7675035901;7675011264;7675009821;7675054802
7675014705;7675012816;7675014742;7675008491;7675019574;7675019653;7675023533;7675027799;7675041489
7675014706;7675050922;7675006103;7675005179;7675006131;7675009902;7675042146;7675006146;7675014213
7675014742;7675039735;7675014307;7675014705;7675013474;7675027802;7675011287;7675023533;7675012816
7675014812;7675019423;7675016133;7675041137;7675051411;7675010214;7675010567;7675008714;7675019630
7675014814;7675050672;7675035901;7675033651;7675008910;7675008491;7675018349;7675037176;7675016380
7675014815;7675013822;7675026138;7675011287;7675047436;7675009642;7675022270;7675027112;7675008913
7675014821;7675010057;7675016133;7675014284;7675016336;7675020103;7675051521;7675050442;7675011588
7675014830;7675019938;7675018349;7675016133;7675016380;7675050672;7675012816;7675012598;7675011263
7675014881;7675051415;7675010388;7675025986;7675051521;7675050497;7675012616;7675054406;7675020689
7675014920;7675030433;7675019654;7675022808;7675006360;7675019652;7675008491;7675031676;7675008658
7675014925;7675005060;7675005098;7675021502;7675005089;7675011448;7675019791;7675010362;7675018144
7675015543;7675039084;7675011449;7675052415;7675012616;7675016856;7675055167;7675041489;7675013151
7675015603;7675010388;7675018767;7675023536;7675052415;7675023692;7675014057;7675014134;7675018242
7675015711;7675041489;7675008491;7675019936;7675011449;71928304560;7675026138;7675050504;7675010201
7675016101;7675050672;7675011265;7675014742;7675030185;7675037176;7675016202;7675033651;7675054600
7675016133;7675018349;7675012598;7675016380;7675010214;7675010567;7675019630;7675011264;7675037176
7675016159;7675022870;7675042172;7675041802;7675006508;7675048776;7675027269;7675008840;7675020688
7675016202;7675019630;7675033651;7675037176;7675010214;7675018349;7675010567;7675012598;7675035901
7675016280;7675050397;7675042147;71928304560;7675018026;7675038187;7675008494;7675009995;7675019540
7675016336;7675016133;7675019791;7675014284;7675020103;7675051521;7675010214;7675014821;7675050442
7675016380;7675018349;7675012598;7675037176;7675016202;7675033651;7675016133;7675035901;7675012763
7675016621;7675051390;7675030650;7675040907;7675025739;7675023536;7675009821;7675027255;7675017298
7675016655;7675039571;7675012918;7675011441;7675008676;7675011443;7675044128;7675027802;7675041083
7675016671;7675025833;7675014925;7675039923;7675046542;7675010719;7675014213;7675011668;7675010362
7675016856;7675008221;7675043581;7675015543;7675010508;7675011441;7675040957;7675023846;7675055167
7675016942;7675011451;7675014172;7675013944;7675013539;7675006325;7675008224;7675014705;7675013550
7675016964;7675022833;7675027799;7675012438;7675006325;7675055663;7675040109;7675019653;7675050504
7675017195;7675023533;7675006384;7675039084;7675027112;7675008894;7675027802;7675014307;7675019801
7675017298;7675009821;7675040907;7675005282;7675025739;7675011448;7675018144;7675023536;7675005083
7675017385;7675008658;7675028931;7675014920;7675051413;7675050442;7675008491;7675013975;7675012262
7675017390;7675054787;7675054399;7675012816;7675011361;7675009903;7675052104;7675042942;7675008894
7675017391;7675005114;7675009902;7675039664;7675014213;7675010296;7675024333;7675008839;7675005101
7675017412;7675035901;7675014705;7675011265;7675052885;7675011263;7675051153;7675033651;7675037176
7675017501;7675005186;7675014057;7675008910;7675042189;7675023692;7675020878;7675047255;7675057416
7675017864;7675005895;7675012405;7675042147;7675010245;7675042146;7675044441;7675014338;7675006748
7675017884;7675005282;7675014920;7675011441;7675012679;7675008547;7675011265;7675017390;7675029814
7675018026;7675039267;7675018144;7675052415;7675006103;7675008516;7675014134;7675057416;7675028146
7675018135;7675041802;7675008221;7675027803;7675016621;7675022833;7675013550;7675013539;7675008494
7675018144;7675009821;7675011448;7675026138;7675017298;7675005282;7675005060;7675052415;7675040907
7675018242;7675008224;7675005088;7675019791;7675014213;7675011448;7675020689;7675012847;7675011444
7675018349;7675012598;7675016380;7675019630;7675033651;7675037176;7675016202;7675016133;7675011264
7675018512;7675022270;7675012542;7675006352;7675011355;7675005088;7675018349;7675050672;7675019630
7675018745;7675012805;7675008894;7675011451;7675011710;7675053385;7675051539;7675023533;7675027269
7675018767;7675011361;7675011287;7675038123;7675010388;7675012841;7675027269;7675050928;7675012041
7675018898;7675040109;7675045749;7675050490;7675008839;7675024333;7675038122;7675009902;7675038176
7675019055;7675029813;7675050921;7675010388;7675010565;7675012816;7675014307;7675044441;7675010065
7675019163;7675005062;7675014104;7675014920;7675025739;7675006360;7675028763;7675013151;7675011449
7675019423;7675012042;7675012039;7675023445;7675018135;7675029824;7675047331;7675014812;7675019794
7675019519;7675013822;7675016133;7675047436;7675022270;7675011262;7675051409;7675012042;7675019791
7675019523;7675008930;7675023536;7675017298;7675005101;7675009821;7675006146;7675054802;7675014213
7675019540;7675054406;7675009995;7675022808;7675006391;7675014920;7675006326;7675009648;7675028773
7675019574;7675042189;7675014705;7675019653;7675028770;7675014339;7675047436;7675019801;7675022808
7675019617;7675040761;7675020825;7675030652;7675025833;7675010404;7675011360;7675039923;7675046542
7675019620;7675020827;7675056461;7675040758;7675017195;7675012805;7675051539;7675039975;7675024397
7675019630;7675016202;7675018349;7675010567;7675012598;7675033651;7675010214;7675037176;7675011264
7675019650;7675054938;7675054787;7675014104;7675014042;7675010565;7675039084;7675026459;7675009642
7675019652;7675027802;7675008491;7675044197;7675044187;7675055167;7675050484;7675047436;7675054792
7675019653;7675028931;7675014338;7675022833;7675009645;7675028720;7675040109;7675019654;7675009648
7675019654;7675047436;7675050397;7675030433;7675014920;7675008491;7675056183;7675055167;7675026459
7675019738;7675050504;7675016133;7675013151;7675020103;7675011588;7675011405;7675014284;7675019791
7675019791;7675005098;7675020689;7675014925;7675018242;7675006131;7675011262;7675008839;7675039571
7675019794;7675047436;7675022270;7675011444;7675023445;7675054399;71928304560;7675012816;7675052415
7675019801;7675017195;7675023533;7675014307;7675042189;7675050490;7675012542;7675039084;7675054787
7675019845;7675017391;7675038497;7675005101;7675021220;7675023692;7675014057;7675008930;7675014134
7675019936;7675011262;7675013822;7675050442;7675026138;7675011291;7675008516;7675006103;7675019791
7675019938;7675014830;7675005062;7675014920;7675039571;7675029242;7675010201;7675028720;7675023691
7675019977;7675012262;7675013975;7675033651;7675010214;7675011263;7675050442;7675011265;7675016202
7675020053;7675011448;7675028773;7675006131;7675005145;7675005114;7675005060;7675014925;7675006146
7675020054;7675054406;7675011441;7675018242;7675027803;7675013151;7675009995;7675028763;7675019652
7675020060;7675039017;7675051539;7675058640;7675012805;7675039784;7675040758;7675020681;7675039975
7675020103;7675039571;7675016133;7675051413;7675014284;7675016336;7675008490;7675011588;7675027892
7675020675;7675012805;7675051539;7675058640;7675055594;7675041083;7675020681;7675038175;7675039017
7675020680;7675021001;7675024332;7675039337;7675018898;7675025498;7675010388;7675052924;7675023691
7675020681;7675047448;7675039017;7675024397;7675041083;7675038175;7675039784;7675039735;7675021479
7675020686;7675008763;7675005183;7675051556;7675014307;7675014338;7675029824;7675040109;7675006360
7675020688;7675012760;7675010245;7675011291;7675055167;7675011449;7675014056;7675048776;7675023691
7675020689;7675019791;7675051390;7675011355;7675040907;7675005083;7675017298;7675014925;7675009821
7675020825;7675019617;7675040761;7675030652;7675025833;7675010404;7675011360;7675039923;7675046542
7675020827;7675045749;7675040758;7675024397;7675055167;7675055722;7675058640;7675051539;7675039975
7675020878;7675014213;7675025739;7675023536;7675005101;7675040907;7675009902;7675017298;7675051390
7675020944;7675012847;7675006131;7675020689;7675005114;7675005088;7675014213;7675025833;7675008839
7675021001;7675042942;7675039735;7675039337;7675010565;7675008894;7675011443;7675020680;7675048442
7675021220;7675044441;7675008516;7675009821;7675005895;7675010388;7675017298;7675011279;7675050921
7675021419;7675014057;7675051407;7675023692;7675047255;7675025833;7675030947;7675046542;7675051221
7675021466;7675026138;7675056021;7675013822;7675009995;7675014630;7675010057;7675057763;7675014338
7675021478;7675051539;7675019055;7675029814;7675051725;7675012805;7675021220;7675029813;7675022697
7675021479;7675022697;7675020681;7675051539;7675058640;7675012805;7675024057;7675021478;7675047448
7675021502;7675008516;7675005060;7675011279;7675005083;7675014925;7675005098;7675014042;7675028773
7675021550;7675012510;7675016101;7675039083;7675014213;7675039571;7675034571;7675051413;7675012262
7675022188;7675010567;7675013395;7675012598;7675037176;7675033651;7675010214;7675016202;7675019630
7675022197;7675005089;7675014057;7675047255;7675009645;7675025833;7675023692;7675019653;7675030947
7675022270;7675018512;7675047436;7675019794;7675011444;71928304560;7675044664;7675011443;7675038497
7675022697;7675021479;7675024057;7675051539;7675058640;7675039784;7675012805;7675021478;7675020681
7675022742;7675011287;7675011265;7675048776;7675016101;7675039955;7675008516;7675022270;7675054792
7675022808;7675030433;7675054406;7675014920;7675006360;7675019540;7675042189;7675039084;7675014042
7675022833;7675051411;7675011534;7675005183;7675016964;7675019653;7675040109;7675026138;7675018135
7675022870;7675038176;7675011355;7675005114;7675017298;7675016159;7675008516;7675005062;7675054802
7675023354;7675005179;7675014057;7675047255;7675025833;7675011448;7675023692;7675030947;7675017298
7675023445;7675019794;7675008714;7675023846;7675052415;7675051415;7675037724;7675009821;7675019423
7675023446;7675006131;7675009644;7675014925;7675020689;7675011668;7675005145;7675021502;7675018242
7675023533;7675017195;7675008894;7675011449;7675028763;7675039084;7675054775;7675014307;7675027802
7675023536;7675025739;7675017298;7675040907;7675051390;7675009821;7675005101;7675030650;7675008930
7675023691;7675009642;7675028720;7675051405;7675030185;7675011291;7675011449;7675013151;7675039084
7675023692;7675010404;7675009642;7675011444;7675040907;7675005088;7675008516;7675030433;7675014213
7675023785;7675020689;7675018026;7675012760;7675018242;7675054787;7675005186;7675023692;7675013822
7675023846;7675011262;7675023445;7675047664;7675019936;7675027799;7675006103;7675011287;7675013822
7675023847;7675008516;7675022870;7675011448;7675005114;7675005186;7675018144;7675005101;7675008930
7675023941;7675055594;7675054399;7675025498;7675012760;7675054517;7675011449;7675042942;7675010065
7675024057;7675022697;7675039784;7675021479;7675051539;7675021220;7675020681;7675039017;7675058640
7675024174;7675005062;7675005114;7675021502;7675011355;7675009902;7675006131;7675038176;7675042189
7675024176;7675010362;7675027799;7675011443;7675050504;7675011441;7675044128;7675052415;7675009903
7675024332;7675052917;7675021001;7675054787;7675012679;7675008763;7675048442;7675008598;7675044197
7675024333;7675038122;7675013714;7675020689;7675014213;7675028773;7675019791;7675029813;7675008839
7675024397;7675039017;7675020681;7675039784;7675041083;7675055167;7675020827;7675038175;7675011449
7675024720;7675009902;7675040907;7675005101;7675051390;7675027802;7675038122;7675009995;71928304560
7675025498;7675051417;7675056403;7675037166;7675014630;7675024333;7675051556;7675055594;7675021466
7675025739;7675009821;7675040907;7675005083;7675051390;7675023536;7675017298;7675030650;7675009902
7675025794;7675025796;7675012847;7675024333;7675006352;7675038176;7675054802;7675029813;7675018144
7675025796;7675025794;7675039735;7675006352;7675018144;7675028755;7675010065;7675008930;7675011355
7675025833;7675047255;7675039923;7675046542;7675016671;7675010719;7675030947;7675011668;7675020944
7675025986;7675008490;7675010065;7675013151;7675006360;7675012760;7675014042;7675040957;7675051413
7675026138;7675018144;7675009821;7675011448;7675019936;7675040907;7675017298;7675011355;7675005060
7675026459;7675019652;7675009645;7675047436;7675019654;7675055167;7675046372;7675027112;7675040109
7675026700;7675014057;7675047255;7675025833;7675023692;7675030947;7675046542;7675039923;7675051221
7675026836;7675011448;7675019055;7675050924;7675057416;7675010388;7675054802;7675005186;7675010065
7675027112;7675027802;7675010201;7675050490;7675051539;7675044150;7675054792;7675010065;7675039084
7675027255;7675027257;7675008224;7675016621;7675005089;7675056017;7675010157;7675011451;7675008490
7675027257;7675027255;7675028737;7675027269;7675051539;7675053385;7675012805;7675016621;7675018767
7675027269;7675053385;7675018767;7675051539;7675027257;7675011287;7675008894;7675011361;7675050490
7675027799;7675016964;7675006391;7675023846;7675011441;7675005088;7675014104;7675008491;7675015711
7675027800;7675021502;7675014925;7675014036;7675011355;7675005062;7675011279;7675005083;7675005060
7675027802;7675027112;7675027803;7675019652;7675050490;7675017195;7675023533;7675009902;7675027804
7675027803;7675027802;7675050490;7675012041;7675008598;7675012038;7675054406;7675040957;7675044267
7675027804;7675027802;7675050490;7675027803;7675012041;7675014742;7675023533;7675047331;7675042942
7675027892;7675014057;7675047255;7675025833;7675014042;7675023692;7675030947;7675019654;7675046542
7675028146;7675057416;7675018242;7675018026;7675014134;7675005282;7675005083;7675041489;7675052415
7675028720;7675023691;7675011405;7675028931;7675041489;7675051725;7675013822;7675018026;7675009645
7675028737;7675027257;7675006384;7675012805;7675047331;7675028755;7675008894;7675027802;7675054775
7675028755;7675014307;7675040957;7675045749;7675044197;7675027803;7675054787;7675008840;7675008494
7675028763;7675028770;7675023533;7675014307;7675017195;7675055663;7675012041;7675044197;7675039337
7675028770;7675028763;7675010298;7675013539;7675017195;7675023533;7675023691;7675008598;7675014307
7675028773;7675021502;7675014925;7675005060;7675005186;7675005114;7675017298;7675005088;7675024333
7675028931;7675008658;7675019653;7675051415;7675017385;7675006360;7675028720;7675014042;7675008490
7675029242;7675018242;7675042385;7675005060;7675018144;7675011448;7675005088;7675040907;7675017298
7675029813;7675010388;7675050921;7675040907;7675010404;7675005083;7675005186;7675054802;7675024333
7675029814;7675010388;7675050921;7675005101;7675019055;7675021478;7675054938;7675037724;7675054792
7675029824;7675008763;7675011441;7675014307;7675020686;7675008598;7675005101;7675010298;7675012041
